,season,year,week,age_0_4,age_5_24,age_25_49,age_25_64,age_50_64,age_65,ilitotal,total_patients,num_of_providers,unweighted_ili,weighted_ili,Date,Open,High,Low,Close,Adj Close,Volume
0,2008-09,2009,1,3245,2548,,2606.0,,557,8956,579428,1539,0.015456600000000001,0.0147138,2009-01-08,8769.94043,8770.019531,8651.19043,8742.459961,8742.459961,226620000
1,2008-09,2009,2,3142,3345,,2329.0,,473,9289,565631,1512,0.0164224,0.0161555,2009-01-15,8196.240234,8286.160156,7995.129883,8212.490234,8212.490234,436660000
2,2008-09,2009,3,3602,4597,,2821.0,,436,11456,582932,1566,0.0196524,0.0195333,2009-01-22,8224.429688,8224.830078,7957.140137,8122.799805,8122.799805,420040000
3,2008-09,2009,4,4039,6602,,3215.0,,468,14324,611176,1554,0.0234368,0.024290700000000002,2009-01-29,8373.05957,8373.139648,8137.939941,8149.009765999999,8149.009765999999,247450000
4,2008-09,2009,5,4606,8882,,4240.0,,540,18268,638613,1580,0.0286057,0.029668599999999996,2009-02-05,7954.830078,8107.830078,7845.310059,8063.069823999999,8063.069823999999,390980000
5,2008-09,2009,6,5064,11215,,4636.0,,752,21667,648304,1569,0.033421,0.03573540000000001,2009-02-12,7931.970215,7938.819823999999,7693.97998,7932.759765999999,7932.759765999999,331960000
6,2008-09,2009,7,4848,9851,,4685.0,,638,20022,624583,1543,0.0320566,0.0336653,2009-02-19,7555.22998,7614.970215,7447.549805,7465.950195,7465.950195,301480000
7,2008-09,2009,8,4694,10092,,5007.0,,657,20450,659573,1544,0.031004900000000002,0.032962,2009-02-26,7269.060059,7402.310059,7173.560059,7182.080078,7182.080078,321300000
8,2008-09,2009,9,4420,9116,,4272.0,,633,18441,623389,1534,0.0295819,0.031722700000000006,2009-03-05,6874.009765999999,6874.009765999999,6544.100098,6594.439941,6594.439941,509770000
9,2008-09,2009,10,4046,7446,,3601.0,,618,15711,637672,1524,0.024638099999999996,0.025804,2009-03-12,6932.390137,7184.709961,6872.25,7170.060059,7170.060059,488690000
10,2008-09,2009,11,3657,6036,,3002.0,,582,13277,605503,1494,0.0219272,0.0242922,2009-03-19,7489.680176000001,7548.459961,7369.259765999999,7400.799805,7400.799805,559920000
