,season,year,week,age_0_4,age_5_24,age_25_49,age_25_64,age_50_64,age_65,ilitotal,total_patients,num_of_providers,unweighted_ili,weighted_ili,Date,Open,High,Low,Close,Adj Close,Volume
0,2008-09,2009,1,3245,2548,,2606.0,,557,8956,579428,1539,0.015456600000000001,0.0147138,2009-01-08,1590.25,1617.01001,1584.280029,1617.01001,1617.01001,1968160000
1,2008-09,2009,2,3142,3345,,2329.0,,473,9289,565631,1512,0.0164224,0.0161555,2009-01-15,1489.459961,1521.579956,1456.719971,1511.839966,1511.839966,2507870000
2,2008-09,2009,3,3602,4597,,2821.0,,436,11456,582932,1566,0.0196524,0.0195333,2009-01-22,1470.849976,1492.469971,1444.079956,1465.48999,1465.48999,2286190000
3,2008-09,2009,4,4039,6602,,3215.0,,468,14324,611176,1554,0.0234368,0.024290700000000002,2009-01-29,1537.469971,1537.839966,1505.699951,1507.839966,1507.839966,1932100000
4,2008-09,2009,5,4606,8882,,4240.0,,540,18268,638613,1580,0.0286057,0.029668599999999996,2009-02-05,1498.589966,1554.369995,1495.52002,1546.23999,1546.23999,2511750000
5,2008-09,2009,6,5064,11215,,4636.0,,752,21667,648304,1569,0.033421,0.03573540000000001,2009-02-12,1510.170044,1542.51001,1495.339966,1541.709961,1541.709961,2428250000
6,2008-09,2009,7,4848,9851,,4685.0,,638,20022,624583,1543,0.0320566,0.0336653,2009-02-19,1478.550049,1485.140015,1442.530029,1442.819946,1442.819946,1991000000
7,2008-09,2009,8,4694,10092,,5007.0,,657,20450,659573,1544,0.031004900000000002,0.032962,2009-02-26,1436.849976,1444.829956,1391.469971,1391.469971,1391.469971,2301990000
8,2008-09,2009,9,4420,9116,,4272.0,,633,18441,623389,1534,0.0295819,0.031722700000000006,2009-03-05,1332.380005,1342.859985,1298.329956,1299.589966,1299.589966,2325840000
9,2008-09,2009,10,4046,7446,,3601.0,,618,15711,637672,1524,0.024638099999999996,0.025804,2009-03-12,1367.780029,1427.550049,1355.050049,1426.099976,1426.099976,2392770000
10,2008-09,2009,11,3657,6036,,3002.0,,582,13277,605503,1494,0.0219272,0.0242922,2009-03-19,1509.060059,1509.060059,1475.48999,1483.47998,1483.47998,2323510000
11,2008-09,2009,12,3237,5052,,2661.0,,450,11400,608342,1470,0.018739500000000003,0.0199028,2009-03-26,1549.400024,1587.0,1545.209961,1587.0,1587.0,2535050000
